"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"idlimit",50,30,318.6464309692383,310.4209899902344,310.4209899902344,310.4209899902344
40
"skiplimit",50,40,308.15601348876953,289.1222635904948,289.1222635904948,289.1222635904948
"idlimit",50,40,320.23588816324866,317.3351287841797,317.3351287841797,317.3351287841797
50
"skiplimit",50,50,348.80638122558594,348.80638122558594,348.80638122558594,348.80638122558594
"idlimit",50,50,346.97850545247394,346.97850545247394,346.97850545247394,346.97850545247394
60
"skiplimit",50,60,341.17698669433594,341.17698669433594,341.17698669433594,341.17698669433594
"idlimit",50,60,336.3291422526042,336.3291422526042,336.3291422526042,336.3291422526042
70
"skiplimit",50,70,337.44176228841144,337.44176228841144,337.44176228841144,337.44176228841144
"idlimit",50,70,337.75965372721356,337.75965372721356,337.75965372721356,337.75965372721356
80
"skiplimit",50,80,339.1106923421224,339.1106923421224,339.1106923421224,339.1106923421224
"idlimit",50,80,335.693359375,335.693359375,335.693359375,335.693359375
90
"skiplimit",50,90,337.521235148112,337.521235148112,337.521235148112,337.521235148112
"idlimit",50,90,337.1238708496094,337.1238708496094,337.1238708496094,337.1238708496094
100
"skiplimit",50,100,341.65382385253906,341.65382385253906,341.65382385253906,341.65382385253906
"idlimit",50,100,337.75965372721356,337.75965372721356,337.75965372721356,337.75965372721356
55
10
"skiplimit",55,10,278.55237325032556,272.43296305338544,272.43296305338544,270.843505859375
"idlimit",55,10,293.0561701456706,301.2816111246745,301.2816111246745,293.3343251546224
20
"skiplimit",55,20,293.04292466905383,294.60589090983075,294.60589090983075,285.06914774576825
"idlimit",55,20,313.75885009765625,314.95094299316406,314.95094299316406,300.7253011067708
30
"skiplimit",55,30,301.9173940022786,294.2879994710286,294.2879994710286,294.2879994710286
"idlimit",55,30,327.70633697509766,317.8914388020833,317.8914388020833,317.8914388020833
40
"skiplimit",55,40,306.01024627685547,288.7248992919922,288.7248992919922,288.7248992919922
"idlimit",55,40,325.32215118408203,323.0571746826172,323.0571746826172,323.0571746826172
50
"skiplimit",55,50,311.6528193155924,281.0955047607422,281.0955047607422,281.0955047607422
"idlimit",55,50,330.0110499064127,308.990478515625,308.990478515625,308.990478515625
60
"skiplimit",55,60,348.2500712076823,348.2500712076823,348.2500712076823,348.2500712076823
"idlimit",55,60,372.4892934163411,372.4892934163411,372.4892934163411,372.4892934163411
70
"skiplimit",55,70,349.28321838378906,349.28321838378906,349.28321838378906,349.28321838378906
"idlimit",55,70,355.79999287923175,355.79999287923175,355.79999287923175,355.79999287923175
80
"skiplimit",55,80,357.70734151204425,357.70734151204425,357.70734151204425,357.70734151204425
"idlimit",55,80,352.8594970703125,352.8594970703125,352.8594970703125,352.8594970703125
90
"skiplimit",55,90,343.00486246744794,343.00486246744794,343.00486246744794,343.00486246744794
"idlimit",55,90,347.0579783121745,347.0579783121745,347.0579783121745,347.0579783121745
100
"skiplimit",55,100,346.0248311360677,346.0248311360677,346.0248311360677,346.0248311360677
"idlimit",55,100,344.8327382405599,344.8327382405599,344.8327382405599,344.8327382405599
60
10
"skiplimit",60,10,274.75092146131726,276.40660603841144,276.40660603841144,272.2740173339844
"idlimit",60,10,307.6261944240994,307.4804941813151,307.4804941813151,297.86427815755206
20
"skiplimit",60,20,295.665529039171,293.41379801432294,293.41379801432294,292.6190694173177
"idlimit",60,20,314.2621782090929,317.0172373453776,317.0172373453776,297.38744099934894
30
"skiplimit",60,30,309.66599782307946,309.14942423502606,309.14942423502606,309.14942423502606
"idlimit",60,30,334.73968505859375,321.7061360677083,321.7061360677083,321.7061360677083
40
"skiplimit",60,40,313.16280364990234,295.0827280680339,295.0827280680339,295.0827280680339
"idlimit",60,40,330.20973205566406,324.9645233154297,324.9645233154297,324.9645233154297
50
"skiplimit",60,50,316.4211908976237,292.69854227701825,292.69854227701825,292.69854227701825
"idlimit",60,50,327.4679183959961,319.3219502766927,319.3219502766927,319.3219502766927
60
"skiplimit",60,60,356.51524861653644,356.51524861653644,356.51524861653644,356.51524861653644
"idlimit",60,60,357.70734151204425,357.70734151204425,357.70734151204425,357.70734151204425
70
"skiplimit",60,70,365.0188446044922,365.0188446044922,365.0188446044922,365.0188446044922
"idlimit",60,70,352.70055135091144,352.70055135091144,352.70055135091144,352.70055135091144
80
"skiplimit",60,80,356.99208577473956,356.99208577473956,356.99208577473956,356.99208577473956
"idlimit",60,80,350.4753112792969,350.4753112792969,350.4753112792969,350.4753112792969
90
"skiplimit",60,90,362.396240234375,362.396240234375,362.396240234375,362.396240234375
"idlimit",60,90,358.26365152994794,358.26365152994794,358.26365152994794,358.26365152994794
100
"skiplimit",60,100,352.4621327718099,352.4621327718099,352.4621327718099,352.4621327718099
"idlimit",60,100,355.3231557210286,355.3231557210286,355.3231557210286,355.3231557210286
65
10
"skiplimit",65,10,284.51283772786456,292.9369608561198,292.9369608561198,273.78400166829425
"idlimit",65,10,295.0940813337054,300.1689910888672,300.1689910888672,292.77801513671875
20
"skiplimit",65,20,289.7183100382487,289.5196278889974,289.5196278889974,289.3606821695964
"idlimit",65,20,308.3944320678711,315.03041585286456,315.03041585286456,298.57953389485675
30
"skiplimit",65,30,300.0895182291667,309.30836995442706,309.30836995442706,274.5787302652995
"idlimit",65,30,319.58685980902777,309.94415283203125,309.94415283203125,300.8842468261719
40
"skiplimit",65,40,318.0901209513346,309.5467885335286,309.5467885335286,309.5467885335286
"idlimit",65,40,341.05777740478516,336.2496693929036,336.2496693929036,336.2496693929036
50
"skiplimit",65,50,314.6727879842123,291.744867960612,291.744867960612,291.744867960612
"idlimit",65,50,340.42199452718097,336.9649251302083,336.9649251302083,336.9649251302083
60
"skiplimit",65,60,320.593516031901,284.6717834472656,284.6717834472656,284.6717834472656
"idlimit",65,60,329.81236775716144,306.6857655843099,306.6857655843099,306.6857655843099
70
"skiplimit",65,70,361.1246744791667,361.1246744791667,361.1246744791667,361.1246744791667
"idlimit",65,70,390.926996866862,390.926996866862,390.926996866862,390.926996866862
80
"skiplimit",65,80,358.1841786702474,358.1841786702474,358.1841786702474,358.1841786702474
